Company Name,Spending Category,Carbon Emissions,Waste Management,Sustainability Practices,Account Number,Summary
HeavyWaste Services,Waste Management,3,3,4,000000024,"HeavyWaste Services is in the fast fashion industry, with room for improvement in sustainability despite efforts to reduce waste and emissions."
PlanetEd Solutions,Education,7,8,7,000000025,PlanetEd Solutions is a fast food giant. They struggle with waste from packaging and high emissions from supply chains but are improving sustainability in sourcing ingredients.
CleanTech Innovations,Technology,9,8,8,000000026,CleanTech Innovations is a coffee chain that performs well in sourcing sustainable coffee but faces challenges with waste and emissions from global operations.
QuickFuel Corp.,Fuel,3,4,3,000000027,QuickFuel Corp. is a beverage company with high waste from packaging but good sustainability practices in water management.
PlanetTransport,Transport,6,6,6,000000028,"PlanetTransport is in the beverage industry, facing waste issues from packaging but improving in sustainability through water conservation."
GreenGrocers Inc.,Groceries,8,7,6,000000029,GreenGrocers Inc. specializes in food manufacturing. They have strong waste management practices but face challenges in emissions from agriculture.
EcoBuilders Construction,Construction,8,9,8,000000030,EcoBuilders Construction is a global food giant. They are working on sustainability in sourcing but struggle with carbon emissions from supply chains.
MovieMania Entertainment,Entertainment,6,6,5,000000031,MovieMania Entertainment is an automaker making strides in electric vehicles but still faces high emissions from production and logistics.
FashionImpact Ltd.,Fashion,4,4,2,000000032,"FashionImpact Ltd. is in the automotive industry, working on improving sustainability with electric vehicles but still has high emissions from traditional car production."
HeavyFuel Corp.,Fuel,3,3,2,000000033,"HeavyFuel Corp. focuses on vehicles, making slow progress in reducing emissions while improving waste management and sustainability."
QuickWaste Disposal,Waste Management,9,9,8,000000034,QuickWaste Disposal is a global hospitality company. They excel in waste management but have high carbon emissions from global travel.
FastTech Corp.,Technology,5,6,7,000000035,FastTech Corp. is another hospitality giant. They are investing in sustainability but struggle with emissions from global operations.
CleanHotels Hospitality,Hospitality,3,3,3,000000036,CleanHotels Hospitality is a travel platform working on sustainable tourism but facing high carbon emissions from its partners.
CarbonSmart Transport,Transport,9,9,9,000000037,"CarbonSmart Transport is in the short-term rental market, with good sustainability practices but moderate emissions from travel-related activities."
FashionRed Corp.,Fashion,8,8,9,000000038,FashionRed Corp. is a travel platform. They are investing in sustainable tourism but face challenges with emissions from travel.
SolarFuel Innovations,Energy,2,3,2,000000039,SolarFuel Innovations is a professional networking platform with low emissions but room to improve in sustainability and waste management.
PlanetEd Ltd.,Education,4,3,4,000000040,PlanetEd Ltd. is a social media company with moderate emissions from data centers but is making improvements in sustainability.
HeavyWaste Corp.,Waste Management,7,8,7,000000041,HeavyWaste Corp. focuses on social networking. They score well in sustainability but face challenges in waste management from digital operations.
RedEnergy Ltd.,Energy,6,5,7,000000042,RedEnergy Ltd. is a social media giant with moderate emissions but good sustainability initiatives.
FreshFuel Automotive,Automotive,8,7,8,000000043,FreshFuel Automotive is a messaging platform with low emissions but still working on improving its sustainability practices.
EcoFarm Agriculture,Agriculture,9,9,8,000000044,EcoFarm Agriculture is a chat platform with low emissions but is investing in data center sustainability improvements.
PureGroceries Solutions,Groceries,6,7,6,000000045,PureGroceries Solutions is a video-sharing platform with high energy usage but good sustainability practices in offsetting carbon.
GreenBuilders Ltd.,Construction,7,8,8,000000046,"GreenBuilders Ltd. specializes in creative tools, scoring well in sustainability but facing waste management challenges from server farms."
SmartAuto Corp.,Automotive,3,3,2,000000047,"SmartAuto Corp. focuses on cloud services, excelling in sustainability but facing challenges with emissions from data centers."
GreenTelecom Inc.,Telecommunications,10,9,9,000000048,GreenTelecom Inc. is a database provider working on sustainability in cloud operations but still has emissions issues from data centers.
HeavyWaste Disposal,Waste Management,8,7,7,000000049,HeavyWaste Disposal is a tech company working on improving emissions but excelling in waste management with recycled hardware.
GreenEnergy Corp.,Energy,2,3,2,000000050,GreenEnergy Corp. is a hardware company with moderate emissions and good sustainability practices in recycling.
EcoHospitality Ltd.,Hospitality,6,6,5,000000051,EcoHospitality Ltd. is a tech manufacturer struggling with emissions but making strides in sustainability and waste management.
FashionFast Ltd.,Fashion,10,9,9,000000052,FashionFast Ltd. is a social media platform focused on content sharing. They have good sustainability practices but room for improvement in emissions.
CleanAuto Services,Automotive,9,8,7,000000053,CleanAuto Services is a social media platform with moderate emissions but improving sustainability through green energy.
SolarTech Innovations,Technology,8,7,7,000000054,SolarTech Innovations is a messaging platform with low emissions but room for improvement in sustainability.
GreenFarm Produce,Agriculture,4,5,4,000000055,GreenFarm Produce focuses on retail technology. They score well in waste management but have moderate emissions from server operations.
SmartWaste Industries,Waste Management,3,4,3,000000056,SmartWaste Industries is a financial service company excelling in sustainability but facing challenges in emissions from global operations.
FreshTech Corp.,Technology,8,9,8,000000057,FreshTech Corp. is a payment network with moderate emissions but strong sustainability practices in corporate operations.
PureFuel Corp.,Fuel,9,8,8,000000058,PureFuel Corp. is a global payments company with moderate emissions but a good track record in sustainability.
FastBuilders Construction,Construction,3,4,3,000000059,FastBuilders Construction is a financial services company with good sustainability practices but moderate emissions from global operations.
CleanAgriculture Ltd.,Agriculture,9,9,9,000000060,CleanAgriculture Ltd. is an insurance company scoring well in sustainability but still facing challenges in emissions from global operations.
CarbonImpact Telecom,Telecommunications,2,3,4,000000061,CarbonImpact Telecom is involved in power and lighting. They are making strides in sustainability but struggle with high carbon emissions.
SunPower Hospitality,Hospitality,6,5,6,000000062,SunPower Hospitality is a consumer goods company working on reducing emissions but excelling in waste management.
FastFuel Corp.,Fuel,3,3,4,000000063,FastFuel Corp. is a consumer goods company with strong sustainability initiatives but room for improvement in emissions.
EcoTransport Corp.,Transport,8,9,8,000000064,EcoTransport Corp. focuses on pharmaceuticals. They have moderate emissions but are working on sustainability in drug manufacturing.
RedWaste Management,Waste Management,8,7,8,000000065,RedWaste Management is a biotech company excelling in sustainability but facing challenges with emissions from global production.
PureBuilders Ltd.,Construction,9,9,9,000000066,PureBuilders Ltd. is a pharmaceutical giant with strong sustainability practices but moderate emissions from manufacturing.
GreenGrocers Solutions,Groceries,4,4,5,000000067,"GreenGrocers Solutions is in the aerospace industry, struggling with emissions but making strides in waste management."
CleanEnergy Inc.,Energy,7,6,7,000000068,CleanEnergy Inc. focuses on defense technologies with room for improvement in emissions and sustainability.
